threshold,sensitivity,specificity,precision,f1,bal_accuracy,youden
0.68,0.9710144927536232,0.9966216216216216,0.9852941176470589,0.9781021897810219,0.9838180571876224,0.9676361143752448
0.6900000000000001,0.9710144927536232,0.9966216216216216,0.9852941176470589,0.9781021897810219,0.9838180571876224,0.9676361143752448
0.7000000000000001,0.9652173913043478,0.9966216216216216,0.985207100591716,0.9751098096632504,0.9809195064629848,0.9618390129259695
0.7100000000000001,0.9623188405797102,0.9966216216216216,0.9851632047477745,0.9736070381231671,0.9794702311006659,0.9589404622013318
0.72,0.9536231884057971,0.9966216216216216,0.9850299401197605,0.9690721649484536,0.9751224050137093,0.9502448100274186
0.73,0.9536231884057971,0.9966216216216216,0.9850299401197605,0.9690721649484536,0.9751224050137093,0.9502448100274186
0.74,0.9536231884057971,0.9966216216216216,0.9850299401197605,0.9690721649484536,0.9751224050137093,0.9502448100274186
0.75,0.9507246376811594,0.9966216216216216,0.984984984984985,0.967551622418879,0.9736731296513905,0.947346259302781
0.76,0.9507246376811594,0.9966216216216216,0.984984984984985,0.967551622418879,0.9736731296513905,0.947346259302781
0.77,0.9507246376811594,0.9966216216216216,0.984984984984985,0.967551622418879,0.9736731296513905,0.947346259302781
0.78,0.9507246376811594,0.9979729729729729,0.9909365558912386,0.970414201183432,0.9743488053270661,0.9486976106541323
0.79,0.9507246376811594,0.9979729729729729,0.9909365558912386,0.970414201183432,0.9743488053270661,0.9486976106541323
0.8,0.9507246376811594,0.9979729729729729,0.9909365558912386,0.970414201183432,0.9743488053270661,0.9486976106541323
0.81,0.9449275362318841,0.9986486486486487,0.9939024390243902,0.9687964338781575,0.9717880924402664,0.9435761848805329
0.8200000000000001,0.9420289855072463,0.9986486486486487,0.9938837920489296,0.9672619047619048,0.9703388170779474,0.9406776341558949
0.8300000000000001,0.9391304347826087,0.9986486486486487,0.9938650306748467,0.9657228017883757,0.9688895417156287,0.9377790834312574
0.8400000000000001,0.936231884057971,0.9993243243243243,0.9969135802469136,0.9656203288490284,0.9677781041911476,0.9355562083822953
0.85,0.927536231884058,1,1,0.9624060150375939,0.963768115942029,0.9275362318840581
0.86,0.9188405797101449,1,1,0.9577039274924471,0.9594202898550724,0.9188405797101449
0.87,0.9072463768115943,1,1,0.9513677811550153,0.9536231884057971,0.9072463768115941
0.88,0.8898550724637682,1,1,0.941717791411043,0.9449275362318841,0.8898550724637682
0.89,0.8753623188405797,1,1,0.9335394126738794,0.9376811594202898,0.8753623188405797
0.9,0.8434782608695652,1,1,0.9150943396226415,0.9217391304347826,0.8434782608695652
0.91,0.7942028985507247,1,1,0.8852988691437803,0.8971014492753624,0.7942028985507248
0.92,0.7333333333333333,1,1,0.846153846153846,0.8666666666666667,0.7333333333333334
0.93,0.6898550724637681,1,1,0.8164665523156089,0.844927536231884,0.689855072463768
